C:\Users\kanna\Desktop\data\IMG\center_2020_09_22_19_03_02_423.jpg, C:\Users\kanna\Desktop\data\IMG\left_2020_09_22_19_03_02_423.jpg, C:\Users\kanna\Desktop\data\IMG\right_2020_09_22_19_03_02_423.jpg, 0, 0, 0, 7.977695E-05
C:\Users\kanna\Desktop\data\IMG\center_2020_09_22_19_03_02_523.jpg, C:\Users\kanna\Desktop\data\IMG\left_2020_09_22_19_03_02_523.jpg, C:\Users\kanna\Desktop\data\IMG\right_2020_09_22_19_03_02_523.jpg, 0, 0, 0, 7.802252E-05
C:\Users\kanna\Desktop\data\IMG\center_2020_09_22_19_03_02_625.jpg, C:\Users\kanna\Desktop\data\IMG\left_2020_09_22_19_03_02_625.jpg, C:\Users\kanna\Desktop\data\IMG\right_2020_09_22_19_03_02_625.jpg, 0, 0, 0, 7.889337E-05
C:\Users\kanna\Desktop\data\IMG\center_2020_09_22_19_03_02_728.jpg, C:\Users\kanna\Desktop\data\IMG\left_2020_09_22_19_03_02_728.jpg, C:\Users\kanna\Desktop\data\IMG\right_2020_09_22_19_03_02_728.jpg, 0, 0, 0, 7.867267E-05
C:\Users\kanna\Desktop\data\IMG\center_2020_09_22_19_03_02_831.jpg, C:\Users\kanna\Desktop\data\IMG\left_2020_09_22_19_03_02_831.jpg, C:\Users\kanna\Desktop\data\IMG\right_2020_09_22_19_03_02_831.jpg, 0, 0, 0, 7.937857E-05
C:\Users\kanna\Desktop\data\IMG\center_2020_09_22_19_03_02_933.jpg, C:\Users\kanna\Desktop\data\IMG\left_2020_09_22_19_03_02_933.jpg, C:\Users\kanna\Desktop\data\IMG\right_2020_09_22_19_03_02_933.jpg, 0, 0, 0, 7.858824E-05
C:\Users\kanna\Desktop\data\IMG\center_2020_09_22_19_03_03_038.jpg, C:\Users\kanna\Desktop\data\IMG\left_2020_09_22_19_03_03_038.jpg, C:\Users\kanna\Desktop\data\IMG\right_2020_09_22_19_03_03_038.jpg, 0, 0.0439404, 0, 0.01741285
C:\Users\kanna\Desktop\data\IMG\center_2020_09_22_19_03_03_140.jpg, C:\Users\kanna\Desktop\data\IMG\left_2020_09_22_19_03_03_140.jpg, C:\Users\kanna\Desktop\data\IMG\right_2020_09_22_19_03_03_140.jpg, -0.07582919, 0.3487227, 0, 0.2742559
C:\Users\kanna\Desktop\data\IMG\center_2020_09_22_19_03_03_241.jpg, C:\Users\kanna\Desktop\data\IMG\left_2020_09_22_19_03_03_241.jpg, C:\Users\kanna\Desktop\data\IMG\right_2020_09_22_19_03_03_241.jpg, -0.3721077, 0.6450011, 0, 0.8749158
C:\Users\kanna\Desktop\data\IMG\center_2020_09_22_19_03_03_341.jpg, C:\Users\kanna\Desktop\data\IMG\left_2020_09_22_19_03_03_341.jpg, C:\Users\kanna\Desktop\data\IMG\right_2020_09_22_19_03_03_341.jpg, -0.114291, 0.950456, 0, 1.888408
C:\Users\kanna\Desktop\data\IMG\center_2020_09_22_19_03_03_442.jpg, C:\Users\kanna\Desktop\data\IMG\left_2020_09_22_19_03_03_442.jpg, C:\Users\kanna\Desktop\data\IMG\right_2020_09_22_19_03_03_442.jpg, 0, 1, 0, 3.063463
C:\Users\kanna\Desktop\data\IMG\center_2020_09_22_19_03_03_543.jpg, C:\Users\kanna\Desktop\data\IMG\left_2020_09_22_19_03_03_543.jpg, C:\Users\kanna\Desktop\data\IMG\right_2020_09_22_19_03_03_543.jpg, -0.2800449, 1, 0, 4.227102
C:\Users\kanna\Desktop\data\IMG\center_2020_09_22_19_03_03_645.jpg, C:\Users\kanna\Desktop\data\IMG\left_2020_09_22_19_03_03_645.jpg, C:\Users\kanna\Desktop\data\IMG\right_2020_09_22_19_03_03_645.jpg, -0.07204442, 1, 0, 5.390813
C:\Users\kanna\Desktop\data\IMG\center_2020_09_22_19_03_03_750.jpg, C:\Users\kanna\Desktop\data\IMG\left_2020_09_22_19_03_03_750.jpg, C:\Users\kanna\Desktop\data\IMG\right_2020_09_22_19_03_03_750.jpg, -0.026898, 1, 0, 6.769588
C:\Users\kanna\Desktop\data\IMG\center_2020_09_22_19_03_03_853.jpg, C:\Users\kanna\Desktop\data\IMG\left_2020_09_22_19_03_03_853.jpg, C:\Users\kanna\Desktop\data\IMG\right_2020_09_22_19_03_03_853.jpg, -0.1823586, 1, 0, 7.893293
C:\Users\kanna\Desktop\data\IMG\center_2020_09_22_19_03_03_955.jpg, C:\Users\kanna\Desktop\data\IMG\left_2020_09_22_19_03_03_955.jpg, C:\Users\kanna\Desktop\data\IMG\right_2020_09_22_19_03_03_955.jpg, 0, 1, 0, 9.018721
